"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1122","glmnet","AUC",NA
1,0,1,"V1123","glmnet","AUC",NA
1,0,1,"V1124","glmnet","AUC",NA
1,0,1,"V1125","glmnet","AUC",NA
1,0,1,"V1126","glmnet","AUC",NA
1,0,1,"V1127","glmnet","AUC",NA
1,0,1,"V1128","glmnet","AUC",NA
1,0,1,"V1129","glmnet","AUC",NA
1,0,1,"V113","glmnet","AUC",NA
1,0,1,"V1130","glmnet","AUC",NA
1,0,1,"V1131","glmnet","AUC",NA
1,0,1,"V1132","glmnet","AUC",NA
1,0,1,"V1133","glmnet","AUC",NA
1,0,1,"V1134","glmnet","AUC",NA
1,0,1,"V1135","glmnet","AUC",NA
1,0,1,"V1136","glmnet","AUC",NA
1,0,1,"V1137","glmnet","AUC",NA
1,0,1,"V1138","glmnet","AUC",NA
1,0,1,"V1139","glmnet","AUC",NA
1,0,1,"V114","glmnet","AUC",NA
1,0,1,"V1140","glmnet","AUC",NA
1,0,1,"V1141","glmnet","AUC",NA
1,0,1,"V1142","glmnet","AUC",NA
1,0,1,"V1143","glmnet","AUC",NA
1,0,1,"V1144","glmnet","AUC",NA
1,0,1,"V1145","glmnet","AUC",NA
1,0,1,"V1146","glmnet","AUC",NA
1,0,1,"V1147","glmnet","AUC",NA
1,0,1,"V1148","glmnet","AUC",NA
1,0,1,"V1149","glmnet","AUC",NA
1,0,1,"V115","glmnet","AUC",NA
1,0,1,"V1150","glmnet","AUC",NA
1,0,1,"V1151","glmnet","AUC",NA
1,0,1,"V1152","glmnet","AUC",NA
1,0,1,"V1153","glmnet","AUC",NA
1,0,1,"V1154","glmnet","AUC",NA
1,0,1,"V1155","glmnet","AUC",NA
1,0,1,"V1156","glmnet","AUC",NA
1,0,1,"V1157","glmnet","AUC",NA
1,0,1,"V1158","glmnet","AUC",NA
1,0,1,"V1159","glmnet","AUC",NA
1,0,1,"V116","glmnet","AUC",NA
1,0,1,"V1160","glmnet","AUC",NA
1,0,1,"V1161","glmnet","AUC",NA
1,0,1,"V1162","glmnet","AUC",NA
1,0,1,"V1163","glmnet","AUC",NA
1,0,1,"V1164","glmnet","AUC",NA
1,0,1,"V1165","glmnet","AUC",NA
1,0,1,"V1166","glmnet","AUC",NA
